[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.488][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.489][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.497][ERR] GetUploadState, handle=-1, pProgress is NULL.
[2021-05-24 17:16:47.497][ERR] GetUploadState, handle=-1, pProgress is NULL.
